id,date_commande,date_livraison,date_paiement,date_maj
1,2024-01-15,2024-01-18,2024-01-16,2024-01-15 10:30:00
2,2024-01-20,2024-01-25,2024-01-22,2024-01-20 14:15:00
3,2024-02-05,2024-02-10,2024-02-07,2024-02-05 09:45:00
4,2024-02-18,2024-02-22,,2024-02-18 16:20:00
5,2024-03-10,2024-03-15,2024-03-12,2024-03-10 11:00:00
6,2024-03-25,2024-04-01,2024-03-28,2024-03-25 13:30:00
7,2024-04-12,2024-04-18,2024-04-15,2024-04-12 08:45:00
8,2024-04-28,2024-05-02,2024-04-30,2024-04-28 17:00:00
9,2024-05-15,2024-05-20,2024-05-18,2024-05-15 12:00:00
10,2024-06-01,2024-06-07,2024-06-04,2024-06-01 10:15:00
11,2024-06-20,2024-06-25,2024-06-22,2024-06-20 14:30:00
12,2024-07-08,2024-07-12,2024-07-10,2024-07-08 09:00:00
13,2024-07-22,2024-07-28,,2024-07-22 16:45:00
14,2024-08-05,2024-08-10,2024-08-08,2024-08-05 11:30:00
15,2024-08-19,2024-08-24,2024-08-21,2024-08-19 13:00:00
16,2024-09-03,2024-09-08,2024-09-06,2024-09-03 10:00:00
17,2024-09-17,2024-09-23,2024-09-20,2024-09-17 15:15:00
18,2024-10-01,2024-10-07,2024-10-04,2024-10-01 08:30:00
19,2024-10-14,2024-10-19,2024-10-16,2024-10-14 12:45:00
20,2024-10-28,2024-11-02,2024-10-30,2024-10-28 14:00:00
21,2024-11-11,2024-11-16,2024-11-13,2024-11-11 09:30:00
22,2024-11-25,2024-11-30,2024-11-27,2024-11-25 16:15:00
23,2024-12-09,2024-12-14,2024-12-12,2024-12-09 11:00:00
24,2024-12-20,2024-12-27,2024-12-23,2024-12-20 13:45:00
25,2025-01-05,2025-01-10,2025-01-08,2025-01-05 10:30:00
